NO2,C2H5CH,VOC,CO,Data Name
227.96,135.41,142.21,131.65,Air
762.67,767.31,782.65,647.48,Chocolate
830.06,844.84,854.94,824.27,Bread
607.38,460.69,498.73,187.06,Cola
683.38,705.34,727.13,674.32,Fish
