NO2,C2H5CH,VOC,CO,Data Name
228.11,135.51,142.21,131.53,Air
762.67,767.31,782.65,647.48,Chocolate
788.70,862.84,870.50,860.52,Perfume
641.98,566.09,595.67,303.14,Rose
748.40,800.81,818.23,862.22,Banana
842.10,855.57,864.05,822.69,Bread
784.28,811.71,826.04,684.74,Coffee
607.15,460.34,498.42,186.63,Cola
683.69,706.07,728.14,677.84,Fish
414.95,335.62,370.89,244.73,Garlic
778.03,753.42,799.55,527.53,Smoke
