NO2,C2H5CH,VOC,CO,Data Name
227.96,135.25,141.77,131.46,Air
762.67,767.31,782.65,647.48,Chocolate
783.47,854.97,862.45,796.18,Perfume
641.73,566.24,595.28,312.98,Rose
748.34,801.58,818.51,863.05,Banana
841.09,854.94,863.40,823.87,Bread
784.43,811.67,825.96,684.57,Coffee
607.43,460.48,498.53,185.71,Cola
683.17,707.76,729.80,695.14,Fish
415.06,335.70,370.57,245.26,Garlic
772.73,746.27,792.52,519.10,Smoke
