NO2,C2H5CH,VOC,CO,Data Name
227.96,135.41,142.21,131.65,Air
789.70,862.44,870.24,861.99,Perfume
642.39,566.49,595.80,300.44,Rose
784.12,811.59,825.95,684.74,Coffee
