NO2,C2H5CH,VOC,CO,Data Name
227.96,135.41,142.21,131.65,Air
748.01,800.35,817.94,861.74,Banana
413.89,335.06,370.60,245.14,Garlic
780.17,756.95,802.63,536.42,Smoke
